70, 20, 135, 20
70, 20, 70, 75
135, 20, 130, 75
60, 80, 80, 70
80, 70, 100, 70
100, 70, 120, 80
120, 80, 130, 100
130, 100, 130, 75
85, 30, 120, 30
120, 30, 120, 70
120, 70, 85, 60
85, 60, 85, 30
130, 75, 210, 75
210, 75, 210, 80
210, 80, 205, 105
205, 105, 130, 105
190, 110, 180, 110
180, 110, 170, 115
170, 115, 165, 125
165, 125, 165, 135
165, 135, 170, 145
170, 145, 180, 150
180, 150, 190, 150
190, 150, 200, 145
200, 145, 205, 135
205, 135, 205, 125
205, 125, 200, 115
200, 115, 190, 110
180, 105, 185, 110
185, 110, 190, 105
130, 100, 130, 120
130, 120, 120, 140
120, 140, 100, 150
100, 150, 80, 150
80, 150, 60, 140
60, 140, 50, 120
50, 120, 50, 100
50, 100, 60, 80
