dll#354#47,5806451612903
inf#60#8,06451612903226
chm#58#7,79569892473118
dl_#44#5,91397849462366
png#43#5,77956989247312
exe#38#5,10752688172043
strings#30#4,03225806451613
forms#27#3,62903225806452
nvi#20#2,68817204301075
sys#15#2,01612903225806
txt#11#1,47849462365591
cab#7#0,940860215053763
tvp#6#0,806451612903226
cat#6#0,806451612903226
config#4#0,537634408602151
cfg#4#0,537634408602151
sy_#3#0,403225806451613
ex_#3#0,403225806451613
ico#1#0,134408602150538
ini#1#0,134408602150538
htm#1#0,134408602150538
xmg#1#0,134408602150538
pb#1#0,134408602150538
pd_#1#0,134408602150538
bi_#1#0,134408602150538
cpl#1#0,134408602150538
gif#1#0,134408602150538
xml#1#0,134408602150538
mof#1#0,134408602150538
